price,year,mileage,make,model,body,age,mileage_per_year,high_mileage
800,2019,201000,dodge,ram 1500,,6,33500.0,1
2800,2019,54713,cadillac,allante,convertible,6,9118.833333333334,0
5100,2019,111754,jeep,cherokee,suv,6,18625.666666666668,0
2500,2019,165522,mitsubishi,montero,suv,6,27587.0,1
4650,2019,77500,isuzu,trooper,,6,12916.666666666666,0
3150,2019,87329,mercedes-benz,s-class,sedan,6,14554.833333333334,0
6000,2019,160250,mercedes-benz,e-class,sedan,6,26708.333333333332,1
15650,2019,22000,oldsmobile,cutlass,convertible,6,3666.6666666666665,0
5800,2019,17533,chevrolet,corvair,convertible,6,2922.1666666666665,0
1030,2020,120114,jeep,cherokee,,5,24022.8,0
26800,2020,39600,dodge,viper,,5,7920.0,0
5250,2020,82500,ford,thunderbird,convertible,5,16500.0,0
4700,2020,127400,ford,thunderbird,convertible,5,25480.0,0
6400,2020,62650,chevrolet,corvette,coupe,5,12530.0,0
3250,2020,99608,pontiac,fiero,coupe,5,19921.6,0
8000,2020,128000,jeep,wrangler,,5,25600.0,0
5400,2020,74500,chevrolet,corvette,coupe,5,14900.0,0
12100,2020,49950,dodge,challenger,coupe,5,9990.0,0
7330,2020,1234,ford,ranchero,standard cab pickup,5,246.8,0
7000,2019,148000,plymouth,scamp,,6,24666.666666666668,0
2430,2020,204000,ford,mustang,coupe,5,40800.0,1
710,2020,230909,nissan,xterra,sedan,5,46181.8,1
2130,2019,135000,bmw,5-series,,6,22500.0,0
4470,2019,1000,pontiac,fiero,gt,6,166.66666666666666,0
3000,2020,92000,chevrolet,camaro,coupe,5,18400.0,0
26790,2020,59000,morgan,plus four,,5,11800.0,0
6800,2019,65000,ford,bronco ii,,6,10833.333333333334,0
7400,2019,120000,jeep,cj,fiberglass,6,20000.0,0
3500,2020,290000,gmc,sierra 2500,extended cab pickup,5,58000.0,1
6000,2019,52650,ford,fiesta,,6,8775.0,0
2250,2019,60800,mazda,mazda3,,6,10133.333333333334,0
5850,2020,200000,porsche,912,,5,40000.0,1
26000,2020,100000,ford,fairlane,,5,20000.0,0
8300,2020,29531,ford,mustang,coupe,5,5906.2,0
7000,2020,116000,ford,mustang,,5,23200.0,0
18400,2019,25000,pontlac,g t o,,6,4166.666666666667,0
5500,2020,188536,chevrolet,tahoe,suv,5,37707.2,1
11900,2019,54940,lincoln,mark series,coupe,6,9156.666666666666,0
20500,2019,72000,ford,f-150,,6,12000.0,0
7200,2019,56100,ford,mustang,,6,9350.0,0
1000,2020,170000,infiniti,g35,sedan,5,34000.0,1
8800,2019,154300,jeep,wrangler,suv,6,25716.666666666668,1
1200,2020,136484,ford,e-series van,,5,27296.8,0
2550,2020,94450,cadillac,allante,convertible,5,18890.0,0
6450,2020,81000,chevrolet,corvette,coupe,5,16200.0,0
2130,2019,89752,ford,crown victoria,,6,14958.666666666666,0
6600,2020,125000,bmw,3-series,convertible,5,25000.0,0
16400,2020,143116,bmw,m6,coupe,5,28623.2,0
10000,2019,97000,bmw,m3,,6,16166.666666666666,0
2360,2019,160000,mercedes-benz,sl-class,,6,26666.666666666668,1
30600,2019,109000,porsche,911,coupe,6,18166.666666666668,0
48600,2019,60500,porsche,911,coupe,6,10083.333333333334,0
17600,2020,127868,porsche,911,convertible,5,25573.6,0
34540,2019,41023,porsche,911,,6,6837.166666666667,0
12450,2020,105000,porsche,cayenne,,5,21000.0,0
39100,2019,55456,ferrari,308,,6,9242.666666666666,0
40600,2019,54411,ferrari,348,,6,9068.5,0
52500,2019,27290,ferrari,355,,6,4548.333333333333,0
7500,2020,100253,bmw,3-series,convertible,5,20050.6,0
6000,2020,42000,chevrolet,corvair,sedan,5,8400.0,0
700,2019,202975,nissan,other pickups,extended cab pickup,6,33829.166666666664,1
17100,2019,35450,toyota,supra,,6,5908.333333333333,0
1200,2020,200000,honda,accord,sedan,5,40000.0,1
3550,2020,91555,toyota,4runner,suv,5,18311.0,0
12000,2020,95000,jeep,j10,standard cab pickup,5,19000.0,0
6900,2018,112000,lexus,ls,sedan,7,16000.0,0
2850,2019,82750,chevrolet,hhr,hatchback,6,13791.666666666666,0
45000,2019,5600,dodge,challenger,coupe,6,933.3333333333334,0
100300,2020,17550,lamborghini,gallardo,coupe,5,3510.0,0
22000,2020,166500,land rover,defender,suv,5,33300.0,1
2500,2020,400000,mercedes-benz,300td,wagon,5,80000.0,1
8300,2019,52000,bmw,3-series,sedan,6,8666.666666666666,0
10870,2020,66393,pontiac,bonneville,coupe,5,13278.6,0
700,2020,205000,chevrolet,blazer,suv,5,41000.0,1
38000,2019,34303,ferrari,308,convertible,6,5717.166666666667,0
6500,2019,83000,mercury,comet,sedan,6,13833.333333333334,0
3500,2020,92000,dodge,other pickups,,5,18400.0,0
9700,2020,99300,jeep,commander,suv,5,19860.0,0
8430,2019,41000,alfa romeo,spider,convertible,6,6833.333333333333,0
1000,2020,49800,chevrolet,camaro,coupe,5,9960.0,0
